0,0,0
0,1,0
0,2,9
0,3,0
0,4,0
0,5,20
0,6,19
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,4
0,13,0
0,14,0
0,15,0
0,16,0
0,17,2
0,18,0
0,19,0
0,20,13
0,21,0
0,22,3
0,23,14
0,24,0
1,0,6
1,1,0
1,2,2
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,17
1,11,18
1,12,0
1,13,7
1,14,12
1,15,20
1,16,3
1,17,13
1,18,24
1,19,25
1,20,0
1,21,22
1,22,0
1,23,23
1,24,4
2,0,7
2,1,0
2,2,24
2,3,5
2,4,0
2,5,10
2,6,0
2,7,6
2,8,0
2,9,13
2,10,23
2,11,1
2,12,22
2,13,0
2,14,16
2,15,4
2,16,17
2,17,21
2,18,0
2,19,0
2,20,0
2,21,15
2,22,0
2,23,20
2,24,0
3,0,0
3,1,13
3,2,20
3,3,0
3,4,0
3,5,17
3,6,22
3,7,23
3,8,0
3,9,2
3,10,5
3,11,0
3,12,0
3,13,0
3,14,6
3,15,0
3,16,12
3,17,0
3,18,0
3,19,0
3,20,0
3,21,21
3,22,16
3,23,0
3,24,0
4,0,0
4,1,15
4,2,23
4,3,3
4,4,0
4,5,21
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,14
4,12,0
4,13,0
4,14,24
4,15,0
4,16,22
4,17,0
4,18,6
4,19,19
4,20,8
4,21,0
4,22,9
4,23,0
4,24,0
5,0,0
5,1,0
5,2,22
5,3,15
5,4,17
5,5,0
5,6,21
5,7,18
5,8,0
5,9,23
5,10,0
5,11,20
5,12,0
5,13,0
5,14,3
5,15,0
5,16,0
5,17,25
5,18,0
5,19,14
5,20,19
5,21,0
5,22,0
5,23,0
5,24,13
6,0,21
6,1,0
6,2,18
6,3,0
6,4,8
6,5,11
6,6,14
6,7,0
6,8,0
6,9,10
6,10,0
6,11,0
6,12,17
6,13,0
6,14,7
6,15,0
6,16,5
6,17,0
6,18,0
6,19,0
6,20,23
6,21,0
6,22,20
6,23,9
6,24,15
7,0,19
7,1,0
7,2,0
7,3,11
7,4,0
7,5,0
7,6,20
7,7,0
7,8,0
7,9,6
7,10,0
7,11,9
7,12,2
7,13,22
7,14,0
7,15,0
7,16,8
7,17,0
7,18,0
7,19,15
7,20,24
7,21,0
7,22,17
7,23,1
7,24,7
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,1
8,6,0
8,7,0
8,8,0
8,9,0
8,10,18
8,11,16
8,12,13
8,13,6
8,14,0
8,15,0
8,16,11
8,17,0
8,18,7
8,19,0
8,20,3
8,21,25
8,22,0
8,23,0
8,24,0
9,0,3
9,1,0
9,2,0
9,3,0
9,4,25
9,5,0
9,6,0
9,7,16
9,8,0
9,9,0
9,10,0
9,11,10
9,12,14
9,13,0
9,14,0
9,15,0
9,16,20
9,17,1
9,18,0
9,19,23
9,20,0
9,21,11
9,22,21
9,23,22
9,24,0
10,0,12
10,1,0
10,2,0
10,3,0
10,4,3
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,19
10,13,0
10,14,0
10,15,6
10,16,0
10,17,15
10,18,0
10,19,18
10,20,0
10,21,23
10,22,14
10,23,0
10,24,0
11,0,4
11,1,0
11,2,0
11,3,0
11,4,18
11,5,0
11,6,0
11,7,14
11,8,3
11,9,0
11,10,15
11,11,0
11,12,5
11,13,0
11,14,17
11,15,1
11,16,25
11,17,0
11,18,0
11,19,0
11,20,0
11,21,0
11,22,8
11,23,7
11,24,9
12,0,11
12,1,16
12,2,0
12,3,20
12,4,0
12,5,0
12,6,4
12,7,0
12,8,0
12,9,0
12,10,24
12,11,0
12,12,0
12,13,0
12,14,22
12,15,0
12,16,0
12,17,0
12,18,23
12,19,0
12,20,0
12,21,3
12,22,0
12,23,25
12,24,10
13,0,15
13,1,22
13,2,25
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,16
13,9,17
13,10,4
13,11,0
13,12,10
13,13,0
13,14,14
13,15,0
13,16,7
13,17,24
13,18,0
13,19,0
13,20,2
13,21,0
13,22,0
13,23,0
13,24,11
14,0,0
14,1,0
14,2,14
14,3,9
14,4,0
14,5,23
14,6,0
14,7,19
14,8,0
14,9,25
14,10,0
14,11,0
14,12,21
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
14,19,0
14,20,15
14,21,0
14,22,0
14,23,0
14,24,20
15,0,0
15,1,24
15,2,15
15,3,14
15,4,0
15,5,12
15,6,0
15,7,25
15,8,4
15,9,0
15,10,0
15,11,0
15,12,7
15,13,5
15,14,0
15,15,0
15,16,0
15,17,16
15,18,0
15,19,0
15,20,6
15,21,0
15,22,0
15,23,0
15,24,22
16,0,0
16,1,0
16,2,0
16,3,6
16,4,7
16,5,0
16,6,24
16,7,0
16,8,14
16,9,0
16,10,0
16,11,13
16,12,18
16,13,21
16,14,2
16,15,0
16,16,0
16,17,0
16,18,0
16,19,20
16,20,0
16,21,0
16,22,0
16,23,0
16,24,0
17,0,16
17,1,8
17,2,10
17,3,0
17,4,13
17,5,2
17,6,0
17,7,0
17,8,19
17,9,0
17,10,0
17,11,15
17,12,6
17,13,12
17,14,0
17,15,24
17,16,0
17,17,0
17,18,11
17,19,0
17,20,0
17,21,9
17,22,0
17,23,0
17,24,3
18,0,20
18,1,1
18,2,4
18,3,0
18,4,12
18,5,0
18,6,0
18,7,0
18,8,23
18,9,0
18,10,3
18,11,0
18,12,25
18,13,0
18,14,0
18,15,18
18,16,0
18,17,0
18,18,5
18,19,6
18,20,7
18,21,0
18,22,24
18,23,0
18,24,2
19,0,25
19,1,0
19,2,0
19,3,0
19,4,19
19,5,7
19,6,0
19,7,20
19,8,0
19,9,0
19,10,1
19,11,0
19,12,0
19,13,24
19,14,0
19,15,10
19,16,0
19,17,17
19,18,21
19,19,0
19,20,4
19,21,14
19,22,23
19,23,0
19,24,0
20,0,0
20,1,0
20,2,1
20,3,0
20,4,10
20,5,14
20,6,17
20,7,0
20,8,9
20,9,0
20,10,22
20,11,0
20,12,0
20,13,25
20,14,0
20,15,0
20,16,0
20,17,0
20,18,0
20,19,4
20,20,0
20,21,24
20,22,7
20,23,3
20,24,0
21,0,0
21,1,0
21,2,8
21,3,24
21,4,0
21,5,0
21,6,0
21,7,0
21,8,20
21,9,0
21,10,6
21,11,0
21,12,0
21,13,0
21,14,10
21,15,14
21,16,0
21,17,12
21,18,18
21,19,11
21,20,0
21,21,0
21,22,4
21,23,2
21,24,0
22,0,0
22,1,2
22,2,0
22,3,25
22,4,0
22,5,0
22,6,0
22,7,11
22,8,21
22,9,18
22,10,16
22,11,0
22,12,3
22,13,14
22,14,13
22,15,7
22,16,0
22,17,8
22,18,0
22,19,24
22,20,0
22,21,20
22,22,10
22,23,0
22,24,1
23,0,18
23,1,21
23,2,0
23,3,23
23,4,0
23,5,19
23,6,1
23,7,12
23,8,22
23,9,24
23,10,20
23,11,5
23,12,0
23,13,2
23,14,8
23,15,0
23,16,0
23,17,0
23,18,0
23,19,0
23,20,0
23,21,0
23,22,11
23,23,0
23,24,25
24,0,0
24,1,20
24,2,3
24,3,0
24,4,9
24,5,0
24,6,0
24,7,13
24,8,0
24,9,0
24,10,0
24,11,0
24,12,24
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,15
24,19,2
24,20,0
24,21,0
24,22,18
